dif,R,RMSE,KGE,name,
-11.3333333,-0.024584978,73.80803288,-6.479490161,leafcubic_SoS_threshold_EVTNDGI,1
-12.3333333,-0.037302107,53.97545674,-2.804470544,leafcubic_SoS_threshold_EVTEVI,2
-11.3333333,0.139620007,93.50922212,-6.699522595,leafcubic_SoS_threshold_EVTNDPI,3
-11.3333333,-0.001616978,59.30764928,-4.397071047,leafcubic_SoS_threshold_EVTNDVI,4
2.6666667,-0.180103846,84.0562314,-6.608386214,leafcubic_SoS_threshold_EVTPPI,5
48.6666667,-0.293585992,59.62483779,-5.046236274,leaffiltercubic_SoS_threshold_EVTNDGI,6
47.6666667,-0.046432572,41.02168575,-2.63801329,leaffiltercubic_SoS_threshold_EVTEVI,7
47.6666667,-0.167713756,37.62507662,-2.241815322,leaffiltercubic_SoS_threshold_EVTNDPI,8
48.6666667,-0.223349951,47.58341587,-3.55223116,leaffiltercubic_SoS_threshold_EVTNDVI,9
61.6666667,-0.363036403,56.70941025,-4.752941643,leaffiltercubic_SoS_threshold_EVTPPI,10
-11.3333333,-0.067201748,60.06366528,-5.049542522,leafmintomax_cubic_SoS_threshold_EVTNDGI,11
-12.3333333,-0.037302107,53.97545674,-2.804470544,leafmintomax_cubic_SoS_threshold_EVTEVI,12
-11.3333333,0.082711588,65.59891167,-5.067824055,leafmintomax_cubic_SoS_threshold_EVTNDPI,13
-11.3333333,-0.001616978,59.30764928,-4.397071047,leafmintomax_cubic_SoS_threshold_EVTNDVI,14
2.6666667,-0.222642017,74.76867353,-5.820028037,leafmintomax_cubic_SoS_threshold_EVTPPI,15
