phase_early,phase_late,partial_corr_ph,partial_corr_temp,partial_corr_precip,rsquared
开始展叶期,展叶盛期,0.6977947135999999,0.06745619479999998,0.27311481680000005,71.0
开始展叶期,花序或花蕾出现期,0.07779403466666668,0.269299489,0.6298615306666666,81.0
开始展叶期,开花始期,-0.2941295903333333,0.6604255353333334,0.23967782799999995,73.0
开始展叶期,开花盛期,0.19981534920000002,0.6287443574000001,-0.0289565022,76.0
开始展叶期,开花末期,0.30235887860000005,0.34943084080000003,0.22082379400000002,65.0
开始展叶期,果实成熟期,-0.10478931750000003,-0.04796729775,0.03135953075000003,62.0
开始展叶期,果实脱落开始期,0.35379915525,-0.4140888505,-0.07950580499999998,86.0
开始展叶期,果实脱落末期,-0.17590597499999996,-0.7017907423333334,0.746328056,95.0
开始展叶期,叶开始变色期,-0.026241125249999997,-0.6961644605,-0.10682657300000004,71.0
开始展叶期,叶全部变色期,0.1286616474,-0.539414384,-0.14924103960000001,94.0
展叶盛期,花序或花蕾出现期,0.3181433725,-0.223892132,0.044553805999999974,100.0
展叶盛期,开花始期,0.142340041,0.11379095233333332,0.002942305666666691,77.0
展叶盛期,开花盛期,0.46056382339999996,0.025880342600000005,0.0870781684,70.0
展叶盛期,开花末期,0.3131157495000001,0.44356176425000005,0.29570087275,70.0
展叶盛期,果实成熟期,0.407018396,0.31359474475000004,-0.44525632525,76.0
展叶盛期,果实脱落开始期,0.47288746525,-0.367228909,-0.9792090465000001,99.0
展叶盛期,果实脱落末期,0.43500879,-0.25826938433333335,0.27487598333333335,97.0
展叶盛期,叶开始变色期,-0.05537471733333332,-0.3145085456666667,-0.29587174400000005,83.0
展叶盛期,叶全部变色期,0.135922659,-0.83309673875,-0.61041907825,85.0
花序或花蕾出现期,开花始期,0.13405729025000002,0.71828827525,0.09482553975,66.0
花序或花蕾出现期,开花盛期,0.3837201524,0.013433312199999992,-0.36092866459999995,66.0
花序或花蕾出现期,开花末期,0.8309296580000002,-0.36359529879999997,-0.5270886156000001,80.0
花序或花蕾出现期,果实成熟期,-0.02775050174999999,-0.1538571805,-0.7851487317500001,92.0
花序或花蕾出现期,果实脱落开始期,0.327791671,-0.4924863825,-0.47496357,100.0
花序或花蕾出现期,果实脱落末期,0.977386871,-0.978384496,-0.98128894,98.0
花序或花蕾出现期,叶开始变色期,-0.07281324649999998,-0.13559620025,-0.55576184175,84.0
花序或花蕾出现期,叶全部变色期,0.38950781175,-0.32648323125,-0.12005137100000002,92.0
开花始期,开花盛期,0.9335737122500001,-0.373862838,0.28637195875,79.0
开花始期,开花末期,0.23339438099999998,0.06453638625000002,-0.044037282250000004,70.0
开花始期,果实成熟期,-0.52092787675,-0.21133281400000004,-0.42071148724999996,75.0
开花始期,果实脱落开始期,0.31555759674999995,-0.5314781015,-0.49229692275000003,99.0
开花始期,果实脱落末期,0.5488248976666666,-0.8413239326666666,-0.8424843193333332,97.0
开花始期,叶开始变色期,0.41813279000000003,-0.6682150435,-0.400429601,76.0
开花始期,叶全部变色期,0.4331282068,-0.5450345024,-0.3161684872,94.0
开花盛期,开花末期,0.6312430902,-0.0351497878,0.11829227539999998,65.0
开花盛期,果实成熟期,-0.508152408,-0.16369572975000002,-0.24361794775,62.0
开花盛期,果实脱落开始期,-0.06796042574999994,-0.197064674,-0.78512987225,82.0
开花盛期,果实脱落末期,0.20708937733333332,-0.41483442366666673,-0.595878967,68.0
开花盛期,叶开始变色期,-0.060536716500000004,-0.3010864285,-0.49582688625000004,61.0
开花盛期,叶全部变色期,-0.022365456750000012,-0.45204141825,-0.59190961875,92.0
开花末期,果实成熟期,0.04819177224999999,-0.32297011775000006,-0.514658449,64.0
开花末期,果实脱落开始期,0.5380434725000001,-0.21419119575,-0.5893699635,90.0
开花末期,果实脱落末期,0.03437079266666665,0.16331254366666667,0.3744963236666666,60.0
开花末期,叶开始变色期,-0.26704949166666664,-0.6235664923333334,-0.265879012,81.0
开花末期,叶全部变色期,0.05936669500000001,-0.3603895646,-0.0508006242,78.0
果实成熟期,果实脱落开始期,0.32253569000000004,0.12771497625,-0.7322774645,84.0
果实成熟期,果实脱落末期,0.735746734,0.11047365499999999,-0.646060124,88.0
果实成熟期,叶开始变色期,0.691247239,0.4603489265,0.4284689665,68.0
果实成熟期,叶全部变色期,0.23867367933333336,0.36135826699999996,0.284534913,64.0
果实脱落开始期,果实脱落末期,0.2788570766666667,-0.295520278,-0.15553622133333334,97.0
果实脱落开始期,叶开始变色期,-1.0,-0.064130428,0.071581515,100.0
果实脱落开始期,叶全部变色期,0.667141896,-0.14538277300000002,-0.03586926349999997,68.0
果实脱落末期,叶开始变色期,0.909708048,0.012682506,0.42163296,84.0
果实脱落末期,叶全部变色期,0.4527584335,-0.10916188799999998,-0.873445779,76.0
叶开始变色期,叶全部变色期,0.2980510926,-0.040614331999999975,0.4438856524,64.0
