,global_mean_diff,global_effect_size,global_p_value,global_p_adjusted,萌动期（返青期）（月/日/年）（儒略日）_mean_diff,萌动期（返青期）（月/日/年）（儒略日）_p_value,开花期（月/日/年）（儒略日）_mean_diff,开花期（月/日/年）（儒略日）_p_value,果实或种子成熟期（月/日/年）（儒略日）_mean_diff,果实或种子成熟期（月/日/年）（儒略日）_p_value,黄枯期（月/日/年）（儒略日）_mean_diff,黄枯期（月/日/年）（儒略日）_p_value
萌动期（返青期）（月/日/年）（儒略日）,7.431943190102615,0.2590039516437142,1.5636619513157517e-05,2.0848826017543357e-05,,,,,,,,
开花期（月/日/年）（儒略日）,40.03752028775716,0.9552674129142517,2.9268771178996176e-106,1.170750847159847e-105,,,,,,,,
果实或种子成熟期（月/日/年）（儒略日）,21.58775188413952,0.47408172337780224,5.3445923762111205e-22,1.0689184752422241e-21,,,,,,,,
黄枯期（月/日/年）（儒略日）,-8.760781687509422,-0.22350069528121871,0.2250689650344473,0.2250689650344473,,,,,,,,
BJF,,,,,-0.4479599775062866,0.5957936442785197,63.98580248556297,9.333447326993052e-200,42.543766596080815,6.2879234634874e-51,6.144077762395966,5.026041594100565e-16
CLD,,,,,8.681159420289845,0.05561684789121539,,,,,-36.93478260869563,0.0017428758270359634
ESD,,,,,7.744505494505489,0.08154370543921226,-1.4963369963369928,0.8566867738350737,-25.879120879120904,0.0126199502202617,0.7280219780219568,0.7923837626073781
FKD,,,,,-18.91054313099042,2.021792724670967e-43,7.100484386272299,0.1411754259360649,-69.32381737606926,1.6392007708532857e-13,-81.26022879521798,1.8274093883061711e-16
HBG,,,,,,,,,,,,
LZD,,,,,,,,,,,,
NMD,,,,,14.847552447552445,1.0400991280505128e-05,44.86086051353226,1.4435637856696009e-12,31.60791117279669,2.7938557277506434e-08,-3.8747397640527765,0.1782661752623115
NMG,,,,,,,,,,,,
SPD,,,,,58.252990033222574,5.2666682653077963e-39,36.665383971892254,9.43569739786509e-18,21.070598006644502,2.0159220414252525e-05,0.7493540051679588,0.6706028747878066
